,Head1,Head2,Head3,Head4,Head5,Head6,Head7,Head8
RPL35A,0.1139066090079227,0.08400088684024155,0.10604850333114976,0.06970888277378019,0.0733035920268116,0.11627906875821256,0.11913899770241546,0.10337706315064009
RPS4X,0.10959546034421498,0.07979023864705313,0.10996628289838165,0.06348705747770532,0.07319394423417391,0.11601579165736715,0.09792033132874395,0.10013477344432367
RPL29,0.10230792096316424,0.07186534032902174,0.0898592252245169,0.058792294583574885,0.05684640553371981,0.09626009484349034,0.09829296849939614,0.08184180863417874
RPS18,0.09788068805024155,0.0649550947317633,0.08027282855024154,0.05226153424299517,0.061084988463054345,0.08371999777856282,0.09572548886339854,0.07807559941751208
PTMA,0.09696792884770533,0.07131916446074879,0.08335444262491545,0.05502253105990339,0.06588374470683574,0.09807103019353865,0.09355429469118356,0.07884258302603865
HSP90B1,0.09641535848413044,0.08719299422922705,0.09799365136241547,0.07096495647167875,0.0816566498236087,0.12570326711871982,0.1145804070986111,0.08694672228538648
RPS15A,0.09603542452620774,0.07153273188623188,0.09115070328103865,0.05532716079986715,0.06661966348301933,0.08509639617944444,0.09780027866582126,0.09129255909371979
RPS28,0.09585385110917874,0.07361484895254831,0.09491112166533817,0.06478272100954106,0.0688480006292029,0.09457722766751207,0.09723748871268117,0.10022755438869566
RPL19,0.09574618467427536,0.06633131966187197,0.07771148147584542,0.05269733122166666,0.06316367757800725,0.08968359811934783,0.08385551176853864,0.0822793539924396
RPL39,0.09535457411932366,0.06548726589321256,0.07662651789202898,0.057196033053611116,0.05515625887222222,0.08984947654387682,0.0842502634311232,0.0842125053879227
RPS24,0.09367050595869565,0.0632874262010628,0.08038700247916665,0.05182912345648551,0.05470052305338164,0.07728032065519323,0.0895389231602657,0.0897669688205314
RPS27A,0.09191176371944444,0.059144727711557966,0.07927259475266908,0.05003045811814009,0.051169774915003505,0.08579460674429952,0.08509472677518116,0.07699376108820048
TMSB4X,0.09070754802753622,0.06781212209323671,0.07877575581375604,0.06012057512452899,0.0667055779321256,0.15338734635990336,0.10821223847657971,0.09421102949644927
FTL,0.09064593005542754,0.0652835965395169,0.08264757093405797,0.05324945734030194,0.06199394655042271,0.14547420522717391,0.09875854066304347,0.0902107674802657
RPL32,0.09054860105294686,0.07143323619685991,0.08184411151123189,0.053552595849987915,0.06105067650355073,0.09650923419504831,0.09474184481014492,0.08704900747248794
